ID|German_Text|German_StageDir
fffb2b00|Die Tests schreiten gut voran. Ihre Investition hat sich auf jeden Fall gelohnt. Wir haben schon einige Erfolge erzielt:\r\nDie Dea Rosacearum wird ihren Zweck bald erfüllen. Nur noch einige wenige Tests müssen gemacht werden.\r\nBei der Atmosphären-Anpassung werden wir nur noch wenige Werte justieren müssen. Sobald alles so weit ist, werden wir uns an die Extremtests wagen.\r\nIch informiere Sie nächste Woche über Weiteres.|
fff8b11d|In dieses verbesserte Regentenschwert der Kleriker kann man zusätzlich einen Stein einsetzen.|
fff85a02|Abgegriffenes Tagebuch|
fff6c7f8|Streng vertraulich|
ffefb1df|Das wars's.|Feind wurde getötet. Nach dem Kampf. (NPC und Mpnster)
ffefb1de|Un jetzt bleib liegen.|Feind wurde getötet. Nach dem Kampf. (NPC und Monster)
ffefb1dd|Endlich.|Feind wurde getötet. Nach dem Kampf. (NPC und Monster)
ffea2295|Ragnar ist der rechtmäßige Besitzer des Schwertes von Erik Eisenfaust.|
ffde3ad9|Gunn hat mir ein Gift für Big Jim mitgegeben. Damit sollte ich ihn in der Arena leichter besiegen können.|
ffd8bd1b||Ich pariere. Schnaufen etc
ffd8bd1a||Ich pariere. Schnaufen etc
ffd8bd19||Ich pariere. Schnaufen etc
ffd8bd18||Ich pariere. Schnaufen etc
ffd8bd17||Ich pariere. Schnaufen etc
ffd21542|Falk|
ffd033ca||
ffcc941f|Alrik getötet|
ffc9fcd5|Duras hat den Berserker Askor ermordet. Ich muss nun entscheiden, welches Urteil über Duras verhängt wird.|
ffc520aa|Du hast den Sieg ehrlich erkämpft.|Kampf beobachtet, NPC ist pro Sieger
ffc520a9|Er hatte nie eine Chance.|Kampf beobachtet, NPC ist pro Sieger
ffc520a8|Gut gekämpft!|Kampf beobachtet, NPC ist pro Sieger
ffc24388|Arva sagte mir, dass ich unten am Fluss die größten Chancen habe Riesenkraut zu finden. Sie braucht mindestens acht Pflanzen.|
ffc117ff|Separatist|
ffc117e5|Separatist|
ffbc4039|Gesetzestreu|
ffb86b49|Untersuchen|
ffb37b9b|Was hast du damit vor?|Spieler hat gefährliche Magie - ich bin vorsichtig
ff9a859d|Anweisung|
ff930843|Dieser Schild soll einst dem legendären Berserker Erik Eisenfaust gehört haben.|
ff8f050e|Schieß einfach!|
ff85b8a7|Füllt die mentale Energie wieder auf.|
ff829f16|Leiter|
ff79c8eb|Kluge Entscheidung.|Spieler verschwindet aus Haus oder entfernt sich mit gefährlicher Waffe
ff7755e4|Eine besondere Einzelanfertigung für den ehemaligen Regenten der Kleriker. Zusätzliche Prismen sorgen für zusätzliche Durchschlagskraft.|
ff760ebf|Das ist eine schlechte Idee.|
ff7525ae|Xanders Truhenschlüssel|
ff73cfbd|Das Fort|
ff690524|Assistent|
ff5f1d9e|0|
ff5d54f8|Entf|
ff4372fd|Aarrghh...|erhebt sich schwerfällig nach K.O.
ff412787||
ff3fa687|Ja, verschwinde nur!|Spieler verschwindet aus Haus oder entfernt sich mit gefährlicher Waffe
ff3dc1c3|Ich warte lieber.|PartyMember geht automatisch in den Wait mit späterem AutoRejoin und folgt nicht mehr dem Leader (z.B. "Ich bleib hier stehen.").
ff3c6241|Kallax|
ff37a581|Niemand mag es, niemand will es.|
ff36dd80|I..Ich tu doch gar nichts!|zweite Warnung, Feigling wird bedroht
ff315576|Einen toten Setzling gefunden, der falsch gepflegt wurde. Dabei ist er offenbar eingegangen.|
ff2712d3|Standardausführung, dennoch tödlich.|
ff24f1de|Einsiedlerin|
ff1ba953||
ff11f8cb|Hörst du schlecht?|zweite Warnung: Spieler soll Zauber wegstecken
ff09efb4|Das tut weh.|Feind wurde getötet. Ich bin angeschlagen. Nach dem Kampf.
ff09efb3|Darauf brauch ich erstmal ein Bier.|Feind wurde getötet. Ich bin angeschlagen. Nach dem Kampf.
ff06d448|Gerechte Strafe|
ff052ced|Meisterliches Feuerkriegerschwert der Berserker. Geschmiedet in den Feuern eines Vulkans.|
fef62176|Bleib dicht bei mir.|in ZS_GuidePlayer_Wait, wenn es wieder weiter geht weil Player nah genug an Guide
fef62175|Los, hier entlang.|in ZS_GuidePlayer_Wait, wenn es wieder weiter geht weil Player nah genug an Guide
